poly_id,year,month,cooling_monthly_mean,n_points,month_date,poly_elv
7,2024,10,-1.9638875325520833,18,2024-10-01,48.43452548980713
8,2020,10,2.67315673828125,19,2020-10-01,37.08544862270355
8,2020,11,2.6373660438939144,19,2020-11-01,37.08544862270355
8,2020,12,2.1925018310546873,20,2020-12-01,37.08544862270355
8,2021,1,1.2031539113898027,19,2021-01-01,37.08544862270355
8,2021,2,2.347058464499081,17,2021-02-01,37.08544862270355
8,2021,3,2.580526251541941,19,2021-03-01,37.08544862270355
8,2021,4,2.577362060546875,19,2021-04-01,37.08544862270355
8,2021,5,2.1199966430664063,20,2021-05-01,37.08544862270355
8,2021,6,2.3247359426398027,19,2021-06-01,37.08544862270355
8,2021,7,2.239476254111842,19,2021-07-01,37.08544862270355
8,2021,8,2.155268618935033,19,2021-08-01,37.08544862270355
8,2021,9,2.3473687422902962,19,2021-09-01,37.08544862270355
8,2021,10,2.7684967041015627,20,2021-10-01,37.08544862270355
8,2021,11,2.3715804250616777,19,2021-11-01,37.08544862270355
8,2021,12,1.8394775390625,19,2021-12-01,37.08544862270355
8,2022,1,2.171574642783717,19,2022-01-01,37.08544862270355
8,2022,2,1.9076484231387867,17,2022-02-01,37.08544862270355
8,2022,3,1.8275009155273438,20,2022-03-01,37.08544862270355
8,2022,4,1.27789306640625,19,2022-04-01,37.08544862270355
8,2022,5,0.3089455052425987,19,2022-05-01,37.08544862270355
8,2022,6,-0.052352007697610295,17,2022-06-01,37.08544862270355
8,2022,7,0.5042146381578947,19,2022-07-01,37.08544862270355
8,2022,8,0.5530044555664062,20,2022-08-01,37.08544862270355
8,2022,9,1.4036833110608553,19,2022-09-01,37.08544862270355
8,2022,10,1.481580232319079,19,2022-10-01,37.08544862270355
8,2022,11,1.6077779134114583,18,2022-11-01,37.08544862270355
8,2022,12,1.829472592002467,19,2022-12-01,37.08544862270355
8,2023,1,1.6880020141601562,20,2023-01-01,37.08544862270355
8,2023,2,2.566106160481771,18,2023-02-01,37.08544862270355
8,2023,3,3.4610531455592106,19,2023-03-01,37.08544862270355
8,2023,4,1.9742094341077303,19,2023-04-01,37.08544862270355
8,2023,5,0.9705296566611842,19,2023-05-01,37.08544862270355
8,2023,6,0.25790084035773025,19,2023-06-01,37.08544862270355
8,2023,7,-0.2870025634765625,20,2023-07-01,37.08544862270355
8,2023,8,-0.22894126490542763,19,2023-08-01,37.08544862270355
8,2023,9,-0.10833231608072917,18,2023-09-01,37.08544862270355
8,2023,10,0.4316677517361111,18,2023-10-01,37.08544862270355
8,2023,11,0.4526302939967105,19,2023-11-01,37.08544862270355
8,2023,12,2.2874984741210938,20,2023-12-01,37.08544862270355
8,2024,1,1.4610563579358553,19,2024-01-01,37.08544862270355
8,2024,2,1.3838907877604167,18,2024-02-01,37.08544862270355
8,2024,3,1.9149948120117188,20,2024-03-01,37.08544862270355
8,2024,4,2.943685431229441,19,2024-04-01,37.08544862270355
8,2024,5,3.2000041760896383,19,2024-05-01,37.08544862270355
8,2024,6,2.8447378058182564,19,2024-06-01,37.08544862270355
8,2024,7,2.6894723992598686,19,2024-07-01,37.08544862270355
8,2024,8,2.1542117470189144,19,2024-08-01,37.08544862270355
8,2024,9,-0.9963137978001645,19,2024-09-01,37.08544862270355
8,2024,10,-2.0644429524739585,18,2024-10-01,37.08544862270355
9,2020,10,0.4942064787212171,19,2020-10-01,46.992342948913574
9,2020,11,0.6326342130962171,19,2020-11-01,46.992342948913574
9,2020,12,1.0905014038085938,20,2020-12-01,46.992342948913574
9,2021,1,0.8773691277754935,19,2021-01-01,46.992342948913574
9,2021,2,0.9217619054457721,17,2021-02-01,46.992342948913574
9,2021,3,0.9626352410567435,19,2021-03-01,46.992342948913574
9,2021,4,1.2289492958470394,19,2021-04-01,46.992342948913574
9,2021,5,0.8695037841796875,20,2021-05-01,46.992342948913574
9,2021,6,0.5263173956620065,19,2021-06-01,46.992342948913574
9,2021,7,-0.07315705951891448,19,2021-07-01,46.992342948913574
9,2021,8,-0.20316354851973684,19,2021-08-01,46.992342948913574
9,2021,9,0.048948589124177634,19,2021-09-01,46.992342948913574
9,2021,10,0.9930023193359375,20,2021-10-01,46.992342948913574
9,2021,11,2.2836833753083883,19,2021-11-01,46.992342948913574
9,2021,12,2.701578240645559,19,2021-12-01,46.992342948913574
9,2022,1,2.8921091180098686,19,2022-01-01,46.992342948913574
9,2022,2,2.432351505055147,17,2022-02-01,46.992342948913574
9,2022,3,3.035504150390625,20,2022-03-01,46.992342948913574
9,2022,4,3.2631595009251644,19,2022-04-01,46.992342948913574
9,2022,5,3.2705206620065788,19,2022-05-01,46.992342948913574
9,2022,6,0.5911793428308824,17,2022-06-01,46.992342948913574
9,2022,7,0.5378948010896382,19,2022-07-01,46.992342948913574
9,2022,8,1.2509994506835938,20,2022-08-01,46.992342948913574
9,2022,9,2.2863143117804277,19,2022-09-01,46.992342948913574
9,2022,10,2.4036897358141447,19,2022-10-01,46.992342948913574
9,2022,11,2.129999796549479,18,2022-11-01,46.992342948913574
9,2022,12,1.764208341899671,19,2022-12-01,46.992342948913574
9,2023,1,2.288499450683594,20,2023-01-01,46.992342948913574
