interval_from,interval_to,LST_B0_min,LST_B0_max,LST_B0_mean,LST_B0_stDev,LST_B0_sampleCount,LST_B0_noDataCount,poly_id,landcover,elv
2024-07-15,2024-07-16,295.239990234375,295.239990234375,295.239990234375,0.0,65536,422,2,10.0,56.3132438659668
2024-07-16,2024-07-17,297.3299865722656,297.3299865722656,297.3299865722656,0.0,65536,422,2,10.0,56.3132438659668
2024-07-17,2024-07-18,294.80999755859375,294.80999755859375,294.80999755859375,0.0,65536,422,2,10.0,56.3132438659668
2024-07-19,2024-07-20,291.57000732421875,291.57000732421875,291.57000732421875,0.0,65536,422,2,10.0,56.3132438659668
2024-07-21,2024-07-22,294.2900085449219,294.2900085449219,294.2900085449219,0.0,65536,422,2,10.0,56.3132438659668
2024-07-23,2024-07-24,294.7300109863281,294.7300109863281,294.7300109863281,0.0,65536,422,2,10.0,56.3132438659668
2024-07-24,2024-07-25,292.9800109863281,292.9800109863281,292.9800109863281,0.0,65536,422,2,10.0,56.3132438659668
2024-07-26,2024-07-27,291.8800048828125,291.8800048828125,291.8800048828125,0.0,65536,422,2,10.0,56.3132438659668
2024-07-28,2024-07-29,290.6499938964844,290.6499938964844,290.6499938964844,0.0,65536,422,2,10.0,56.3132438659668
2024-07-30,2024-07-31,296.3299865722656,296.3299865722656,296.3299865722656,0.0,65536,422,2,10.0,56.3132438659668
2024-07-31,2024-08-01,294.5400085449219,294.5400085449219,294.5400085449219,0.0,65536,422,2,10.0,56.3132438659668
2024-08-01,2024-08-02,289.07000732421875,289.07000732421875,289.07000732421875,0.0,65536,422,2,10.0,56.3132438659668
2024-08-02,2024-08-03,292.29998779296875,292.29998779296875,292.29998779296875,0.0,65536,422,2,10.0,56.3132438659668
2024-08-04,2024-08-05,292.05999755859375,292.05999755859375,292.05999755859375,0.0,65536,422,2,10.0,56.3132438659668
2024-08-06,2024-08-07,294.5799865722656,294.5799865722656,294.5799865722656,0.0,65536,422,2,10.0,56.3132438659668
2024-08-08,2024-08-09,292.7300109863281,292.7300109863281,292.7300109863281,0.0,65536,422,2,10.0,56.3132438659668
2024-08-09,2024-08-10,291.79998779296875,291.79998779296875,291.79998779296875,0.0,65536,422,2,10.0,56.3132438659668
2024-08-11,2024-08-12,295.239990234375,295.239990234375,295.239990234375,0.0,65536,422,2,10.0,56.3132438659668
2024-08-13,2024-08-14,294.6600036621094,294.6600036621094,294.6600036621094,0.0,65536,422,2,10.0,56.3132438659668
2024-08-15,2024-08-16,295.17999267578125,295.17999267578125,295.17999267578125,0.0,65536,422,2,10.0,56.3132438659668
2024-08-16,2024-08-17,294.0299987792969,294.0299987792969,294.0299987792969,0.0,65536,422,2,10.0,56.3132438659668
2024-08-17,2024-08-18,296.2900085449219,296.2900085449219,296.2900085449219,0.0,65536,422,2,10.0,56.3132438659668
2024-08-18,2024-08-19,290.3800048828125,290.3800048828125,290.3800048828125,0.0,65536,422,2,10.0,56.3132438659668
2024-08-20,2024-08-21,295.45001220703125,295.45001220703125,295.45001220703125,0.0,65536,422,2,10.0,56.3132438659668
2024-08-22,2024-08-23,294.0400085449219,294.0400085449219,294.0400085449219,0.0,65536,422,2,10.0,56.3132438659668
