"location","year_month","month_min"
"Ciudad_Neily",2022-11-01,21.5
"Ciudad_Neily",2022-12-01,19.5
"Ciudad_Neily",2023-01-01,17.9
"Ciudad_Neily",2023-02-01,18.8
"Ciudad_Neily",2023-03-01,19.5
"Ciudad_Neily",2023-04-01,20.9
"Ciudad_Neily",2023-05-01,21.9
"Ciudad_Neily",2023-06-01,21.5
"Ciudad_Neily",2023-07-01,22.6
"Ciudad_Neily",2023-08-01,21.2
"Ciudad_Neily",2023-09-01,21.5
"Ciudad_Neily",2023-10-01,21
"Ciudad_Neily",2023-11-01,20.7
"Ciudad_Neily",2023-12-01,20.3
"Ciudad_Neily",2024-01-01,20.7
"Ciudad_Neily",2024-02-01,20.2
"Ciudad_Neily",2024-03-01,20.1
"Ciudad_Neily",2024-04-01,21.4
"Ciudad_Neily",2024-05-01,22.4
"Ciudad_Neily",2024-06-01,22.2
"Ciudad_Neily",2024-07-01,22.2
"Ciudad_Neily",2024-08-01,21.7
"Ciudad_Neily",2024-09-01,22.6
"Fundación_Neotropica",2013-01-01,22.5
"Fundación_Neotropica",2013-02-01,21.57
"Fundación_Neotropica",2013-03-01,22.02
"Fundación_Neotropica",2013-04-01,21.31
"Fundación_Neotropica",2013-05-01,21.67
"Fundación_Neotropica",2013-06-01,20.78
"Fundación_Neotropica",2013-07-01,22.21
"Fundación_Neotropica",2013-08-01,21.5
"Fundación_Neotropica",2013-09-01,21.31
"Fundación_Neotropica",2013-10-01,20.8
"Fundación_Neotropica",2013-11-01,19.79
"Fundación_Neotropica",2013-12-01,21.41
"Fundación_Neotropica",2014-01-01,21.53
"Fundación_Neotropica",2014-02-01,21.85
"Fundación_Neotropica",2014-03-01,21.45
"Fundación_Neotropica",2014-04-01,21.95
"Fundación_Neotropica",2014-05-01,21.96
"Fundación_Neotropica",2014-06-01,21.5
"Fundación_Neotropica",2014-07-01,22.32
"Fundación_Neotropica",2014-08-01,21.13
"Fundación_Neotropica",2014-09-01,20.98
"Fundación_Neotropica",2014-10-01,21.22
"Fundación_Neotropica",2014-11-01,21.68
"Fundación_Neotropica",2014-12-01,21.63
"Fundación_Neotropica",2015-01-01,20.83
"Fundación_Neotropica",2015-02-01,21.56
"Fundación_Neotropica",2015-03-01,20.96
"Fundación_Neotropica",2015-04-01,21.87
"Fundación_Neotropica",2015-05-01,21
"Fundación_Neotropica",2015-06-01,21.1
"Fundación_Neotropica",2015-07-01,21.6
"Fundación_Neotropica",2015-08-01,21.9
"Fundación_Neotropica",2015-09-01,21.5
"Fundación_Neotropica",2015-10-01,22
"Fundación_Neotropica",2015-11-01,21.8
"Fundación_Neotropica",2015-12-01,22.3
"Fundación_Neotropica",2016-01-01,23.2
"Fundación_Neotropica",2016-02-01,22.3
"Fundación_Neotropica",2016-03-01,23.3
"Fundación_Neotropica",2016-04-01,22.7
"Fundación_Neotropica",2016-05-01,22.8
"Fundación_Neotropica",2016-06-01,21.6
"Fundación_Neotropica",2016-07-01,21.6
"Fundación_Neotropica",2016-08-01,21.4
"Fundación_Neotropica",2016-09-01,21.1
"Fundación_Neotropica",2016-10-01,21.8
"Fundación_Neotropica",2016-11-01,21.9
"Fundación_Neotropica",2016-12-01,21.1
"Fundación_Neotropica",2017-02-01,21.5
"Fundación_Neotropica",2017-03-01,20.8
"Fundación_Neotropica",2017-04-01,21.1
"Fundación_Neotropica",2017-05-01,22.1
"Fundación_Neotropica",2017-06-01,21.7
"Fundación_Neotropica",2017-07-01,21.1
"Fundación_Neotropica",2017-08-01,20.7
"Fundación_Neotropica",2017-09-01,21.8
"Fundación_Neotropica",2017-10-01,20.8
"Fundación_Neotropica",2017-11-01,21.5
"Fundación_Neotropica",2017-12-01,20.8
"Fundación_Neotropica",2018-01-01,20.6
"Fundación_Neotropica",2018-02-01,21.3
"Fundación_Neotropica",2018-03-01,21.3
"Fundación_Neotropica",2018-04-01,20.8
"Fundación_Neotropica",2018-05-01,21.3
"Fundación_Neotropica",2018-06-01,20.5
"Fundación_Neotropica",2018-07-01,20.8
"Fundación_Neotropica",2018-08-01,21.2
"Fundación_Neotropica",2018-09-01,21.4
"Fundación_Neotropica",2018-10-01,19.9
"Fundación_Neotropica",2018-11-01,21.6
"Fundación_Neotropica",2018-12-01,21.1
"Fundación_Neotropica",2019-01-01,21.2
"Fundación_Neotropica",2019-02-01,19.4
"Fundación_Neotropica",2019-03-01,21.9
"Fundación_Neotropica",2019-04-01,21.9
"Fundación_Neotropica",2019-05-01,21.4
"Fundación_Neotropica",2019-06-01,21.9
"Fundación_Neotropica",2019-07-01,21.4
"Fundación_Neotropica",2019-08-01,21.3
"Fundación_Neotropica",2019-09-01,21
"Fundación_Neotropica",2019-10-01,21.4
"Fundación_Neotropica",2019-11-01,21.6
"Fundación_Neotropica",2019-12-01,21.4
"Fundación_Neotropica",2020-01-01,21.7
"Fundación_Neotropica",2020-02-01,21.8
"Fundación_Neotropica",2020-03-01,21.2
"Fundación_Neotropica",2020-04-01,22.6
"Fundación_Neotropica",2020-05-01,22.6
"Fundación_Neotropica",2020-06-01,21.7
"Fundación_Neotropica",2020-07-01,21
"Fundación_Neotropica",2020-08-01,20.5
"Fundación_Neotropica",2020-09-01,21.2
"Fundación_Neotropica",2020-10-01,21.4
"Fundación_Neotropica",2020-11-01,21.6
"Fundación_Neotropica",2020-12-01,21.4
"Fundación_Neotropica",2021-01-01,20.9
"Fundación_Neotropica",2021-02-01,21.2
"Fundación_Neotropica",2021-03-01,21.2
"Fundación_Neotropica",2021-04-01,21.1
"Fundación_Neotropica",2021-05-01,21.6
"Fundación_Neotropica",2021-06-01,20.6
"Fundación_Neotropica",2021-07-01,21.1
"Fundación_Neotropica",2021-08-01,21.1
"Fundación_Neotropica",2021-09-01,21.4
