"location","index","date","value"
"Altamira","temp_max_C",2001-01-08,22.74
"Altamira","temp_max_C",2001-01-09,24.99
"Altamira","temp_max_C",2001-01-10,25.25
"Altamira","temp_max_C",2001-01-11,24.48
"Altamira","temp_max_C",2001-01-12,25.3
"Altamira","temp_max_C",2001-01-13,25.46
"Altamira","temp_max_C",2001-01-14,25.04
"Altamira","temp_max_C",2001-01-15,24.8
"Altamira","temp_max_C",2001-01-16,23.47
"Altamira","temp_max_C",2001-01-17,25.32
"Altamira","temp_max_C",2001-01-18,26.13
"Altamira","temp_max_C",2001-01-19,25.2
"Altamira","temp_max_C",2001-01-20,25.56
"Altamira","temp_max_C",2001-01-21,24.6
"Altamira","temp_max_C",2001-01-22,24.85
"Altamira","temp_max_C",2001-01-23,24.59
"Altamira","temp_max_C",2001-01-24,22.63
"Altamira","temp_max_C",2001-01-25,23.18
"Altamira","temp_max_C",2001-01-26,25.6
"Altamira","temp_max_C",2001-01-27,26.04
"Altamira","temp_max_C",2001-01-28,25.9
"Altamira","temp_max_C",2001-01-29,25.46
"Altamira","temp_max_C",2001-01-30,25.63
"Altamira","temp_max_C",2001-01-31,25.83
"Altamira","temp_max_C",2001-02-01,25.73
"Altamira","temp_max_C",2001-02-02,25.89
"Altamira","temp_max_C",2001-02-03,25.83
"Altamira","temp_max_C",2001-02-04,25.53
"Altamira","temp_max_C",2001-02-05,25.64
"Altamira","temp_max_C",2001-02-06,25.76
"Altamira","temp_max_C",2001-02-07,27.06
"Altamira","temp_max_C",2001-02-08,27.38
"Altamira","temp_max_C",2001-02-09,27.33
"Altamira","temp_max_C",2001-02-10,27.02
"Altamira","temp_max_C",2001-02-11,27.85
"Altamira","temp_max_C",2001-02-12,30.26
"Altamira","temp_max_C",2001-02-13,28.1
"Altamira","temp_max_C",2001-02-14,27.19
"Altamira","temp_max_C",2001-02-15,26.4
"Altamira","temp_max_C",2001-02-16,24.59
"Altamira","temp_max_C",2001-02-17,27.44
"Altamira","temp_max_C",2001-02-18,25.7
"Altamira","temp_max_C",2001-02-19,28.53
"Altamira","temp_max_C",2001-02-20,28.17
"Altamira","temp_max_C",2001-02-21,28.36
