interval_from,interval_to,LST,land_type,Id,land_type_label
2023-12-28,2023-12-29,293.0199890136719,10,Site-001,forest
2023-12-29,2023-12-30,291.20001220703125,10,Site-001,forest
2023-12-31,2024-01-01,291.6000061035156,10,Site-001,forest
2023-01-01,2023-01-02,294.2099914550781,10,Site-002,forest
2023-01-02,2023-01-03,291.3399963378906,10,Site-002,forest
2023-01-03,2023-01-04,291.70001220703125,10,Site-002,forest
2023-01-04,2023-01-05,290.6199951171875,10,Site-002,forest
2023-01-06,2023-01-07,292.989990234375,10,Site-002,forest
2023-01-08,2023-01-09,292.0799865722656,10,Site-002,forest
2023-01-10,2023-01-11,291.1199951171875,10,Site-002,forest
2023-01-11,2023-01-12,290.94000244140625,10,Site-002,forest
2023-01-13,2023-01-14,292.1700134277344,10,Site-002,forest
2023-01-15,2023-01-16,292.7300109863281,10,Site-002,forest
2023-01-17,2023-01-18,294.1000061035156,10,Site-002,forest
2023-01-18,2023-01-19,292.0199890136719,10,Site-002,forest
2023-01-19,2023-01-20,294.5899963378906,10,Site-002,forest
2023-01-20,2023-01-21,291.4100036621094,10,Site-002,forest
2023-01-22,2023-01-23,292.4100036621094,10,Site-002,forest
2023-01-24,2023-01-25,293.1300048828125,10,Site-002,forest
2023-01-26,2023-01-27,293.7300109863281,10,Site-002,forest
2023-01-27,2023-01-28,291.989990234375,10,Site-002,forest
2023-01-29,2023-01-30,291.4599914550781,10,Site-002,forest
2023-01-31,2023-02-01,294.70001220703125,10,Site-002,forest
2023-02-02,2023-02-03,292.54998779296875,10,Site-002,forest
2023-02-03,2023-02-04,290.79998779296875,10,Site-002,forest
2023-02-04,2023-02-05,293.1199951171875,10,Site-002,forest
2023-02-05,2023-02-06,290.9200134277344,10,Site-002,forest
2023-02-07,2023-02-08,293.9800109863281,10,Site-002,forest
2023-02-09,2023-02-10,293.2200012207031,10,Site-002,forest
2023-02-11,2023-02-12,293.5799865722656,10,Site-002,forest
2023-02-12,2023-02-13,290.0299987792969,10,Site-002,forest
2023-02-14,2023-02-15,291.8999938964844,10,Site-002,forest
2023-02-16,2023-02-17,294.2200012207031,10,Site-002,forest
2023-02-18,2023-02-19,293.4100036621094,10,Site-002,forest
2023-02-19,2023-02-20,288.9700012207031,10,Site-002,forest
2023-02-20,2023-02-21,293.55999755859375,10,Site-002,forest
2023-02-21,2023-02-22,289.1099853515625,10,Site-002,forest
2023-02-23,2023-02-24,292.2799987792969,10,Site-002,forest
2023-02-25,2023-02-26,291.54998779296875,10,Site-002,forest
2023-02-27,2023-02-28,294.1300048828125,10,Site-002,forest
2023-02-28,2023-03-01,292.8599853515625,10,Site-002,forest
2023-03-02,2023-03-03,292.5899963378906,10,Site-002,forest
2023-03-04,2023-03-05,294.9700012207031,10,Site-002,forest
2023-03-06,2023-03-07,294.3399963378906,10,Site-002,forest
2023-03-07,2023-03-08,290.8399963378906,10,Site-002,forest
2023-03-08,2023-03-09,294.05999755859375,10,Site-002,forest
2023-03-09,2023-03-10,289.80999755859375,10,Site-002,forest
2023-03-11,2023-03-12,289.95001220703125,10,Site-002,forest
2023-03-13,2023-03-14,292.9100036621094,10,Site-002,forest
2023-03-15,2023-03-16,290.8599853515625,10,Site-002,forest
2023-03-16,2023-03-17,288.0899963378906,10,Site-002,forest
2023-03-18,2023-03-19,292.04998779296875,10,Site-002,forest
2023-03-20,2023-03-21,294.3599853515625,10,Site-002,forest
2023-03-22,2023-03-23,293.94000244140625,10,Site-002,forest
2023-03-23,2023-03-24,292.1300048828125,10,Site-002,forest
2023-03-24,2023-03-25,293.8599853515625,10,Site-002,forest
2023-03-25,2023-03-26,292.82000732421875,10,Site-002,forest
2023-03-27,2023-03-28,294.0,10,Site-002,forest
2023-03-29,2023-03-30,296.3500061035156,10,Site-002,forest
2023-03-31,2023-04-01,294.19000244140625,10,Site-002,forest
2023-04-01,2023-04-02,294.5299987792969,10,Site-002,forest
2023-04-03,2023-04-04,294.17999267578125,10,Site-002,forest
2023-04-05,2023-04-06,295.1499938964844,10,Site-002,forest
2023-04-07,2023-04-08,292.1300048828125,10,Site-002,forest
2023-04-08,2023-04-09,290.70001220703125,10,Site-002,forest
2023-04-09,2023-04-10,294.2699890136719,10,Site-002,forest
2023-04-10,2023-04-11,292.3699951171875,10,Site-002,forest
2023-04-12,2023-04-13,296.29998779296875,10,Site-002,forest
2023-04-14,2023-04-15,294.4800109863281,10,Site-002,forest
2023-04-16,2023-04-17,296.54998779296875,10,Site-002,forest
2023-04-17,2023-04-18,292.17999267578125,10,Site-002,forest
2023-04-19,2023-04-20,294.55999755859375,10,Site-002,forest
2023-04-21,2023-04-22,294.70001220703125,10,Site-002,forest
2023-04-23,2023-04-24,292.9200134277344,10,Site-002,forest
2023-04-24,2023-04-25,291.3500061035156,10,Site-002,forest
2023-04-25,2023-04-26,294.7900085449219,10,Site-002,forest
2023-04-26,2023-04-27,292.3299865722656,10,Site-002,forest
2023-04-28,2023-04-29,293.7099914550781,10,Site-002,forest
2023-04-30,2023-05-01,291.8500061035156,10,Site-002,forest
2023-05-02,2023-05-03,294.1400146484375,10,Site-002,forest
2023-05-03,2023-05-04,295.8399963378906,10,Site-002,forest
2023-05-05,2023-05-06,295.3900146484375,10,Site-002,forest
2023-05-07,2023-05-08,296.55999755859375,10,Site-002,forest
2023-05-09,2023-05-10,296.7300109863281,10,Site-002,forest
2023-05-10,2023-05-11,294.6000061035156,10,Site-002,forest
2023-05-11,2023-05-12,296.8599853515625,10,Site-002,forest
2023-05-12,2023-05-13,293.2900085449219,10,Site-002,forest
2023-05-14,2023-05-15,296.20001220703125,10,Site-002,forest
2023-05-18,2023-05-19,296.1000061035156,10,Site-002,forest
2023-05-19,2023-05-20,294.6700134277344,10,Site-002,forest
2023-05-21,2023-05-22,294.3399963378906,10,Site-002,forest
2023-05-23,2023-05-24,292.510009765625,10,Site-002,forest
2023-05-25,2023-05-26,290.6600036621094,10,Site-002,forest
2023-05-26,2023-05-27,287.3900146484375,10,Site-002,forest
2023-05-27,2023-05-28,292.9800109863281,10,Site-002,forest
2023-05-28,2023-05-29,292.7799987792969,10,Site-002,forest
2023-05-30,2023-05-31,291.42999267578125,10,Site-002,forest
2023-06-01,2023-06-02,284.3800048828125,10,Site-002,forest
2023-06-03,2023-06-04,294.7200012207031,10,Site-002,forest
2023-06-04,2023-06-05,294.25,10,Site-002,forest
2023-06-06,2023-06-07,292.6700134277344,10,Site-002,forest
2023-06-08,2023-06-09,292.0400085449219,10,Site-002,forest
2023-06-10,2023-06-11,287.4700012207031,10,Site-002,forest
2023-06-11,2023-06-12,289.70001220703125,10,Site-002,forest
2023-06-12,2023-06-13,295.4800109863281,10,Site-002,forest
2023-06-13,2023-06-14,296.05999755859375,10,Site-002,forest
2023-06-15,2023-06-16,293.010009765625,10,Site-002,forest
2023-06-17,2023-06-18,293.8900146484375,10,Site-002,forest
2023-06-19,2023-06-20,296.5799865722656,10,Site-002,forest
2023-06-20,2023-06-21,293.6700134277344,10,Site-002,forest
2023-06-22,2023-06-23,292.3900146484375,10,Site-002,forest
2023-06-24,2023-06-25,292.9100036621094,10,Site-002,forest
2023-06-26,2023-06-27,292.5899963378906,10,Site-002,forest
2023-06-27,2023-06-28,291.0299987792969,10,Site-002,forest
2023-06-28,2023-06-29,296.07000732421875,10,Site-002,forest
2023-06-29,2023-06-30,294.7699890136719,10,Site-002,forest
2023-07-01,2023-07-02,293.07000732421875,10,Site-002,forest
2023-07-03,2023-07-04,292.1400146484375,10,Site-002,forest
2023-07-05,2023-07-06,296.3699951171875,10,Site-002,forest
2023-07-06,2023-07-07,293.4700012207031,10,Site-002,forest
2023-07-08,2023-07-09,292.8699951171875,10,Site-002,forest
2023-07-10,2023-07-11,295.1400146484375,10,Site-002,forest
2023-07-12,2023-07-13,295.7699890136719,10,Site-002,forest
2023-07-13,2023-07-14,296.010009765625,10,Site-002,forest
2023-07-14,2023-07-15,294.489990234375,10,Site-002,forest
2023-07-15,2023-07-16,294.57000732421875,10,Site-002,forest
2023-07-17,2023-07-18,294.1199951171875,10,Site-002,forest
2023-07-19,2023-07-20,294.8500061035156,10,Site-002,forest
2023-07-21,2023-07-22,297.7099914550781,10,Site-002,forest
2023-07-22,2023-07-23,293.3500061035156,10,Site-002,forest
2023-07-24,2023-07-25,294.92999267578125,10,Site-002,forest
2023-07-26,2023-07-27,294.80999755859375,10,Site-002,forest
2023-07-28,2023-07-29,296.75,10,Site-002,forest
2023-07-29,2023-07-30,295.3299865722656,10,Site-002,forest
2023-07-30,2023-07-31,296.1000061035156,10,Site-002,forest
2023-07-31,2023-08-01,295.05999755859375,10,Site-002,forest
2023-08-02,2023-08-03,292.1099853515625,10,Site-002,forest
2023-08-04,2023-08-05,295.70001220703125,10,Site-002,forest
2023-08-06,2023-08-07,297.95001220703125,10,Site-002,forest
2023-08-07,2023-08-08,292.57000732421875,10,Site-002,forest
2023-08-09,2023-08-10,294.6300048828125,10,Site-002,forest
2023-08-11,2023-08-12,295.9200134277344,10,Site-002,forest
2023-08-13,2023-08-14,293.4700012207031,10,Site-002,forest
2023-08-14,2023-08-15,283.4200134277344,10,Site-002,forest
2023-08-15,2023-08-16,293.2300109863281,10,Site-002,forest
2023-08-16,2023-08-17,291.5799865722656,10,Site-002,forest
2023-08-18,2023-08-19,293.25,10,Site-002,forest
2023-08-20,2023-08-21,292.45001220703125,10,Site-002,forest
2023-08-22,2023-08-23,292.54998779296875,10,Site-002,forest
2023-08-23,2023-08-24,283.7799987792969,10,Site-002,forest
2023-08-25,2023-08-26,286.2799987792969,10,Site-002,forest
2023-08-27,2023-08-28,295.4800109863281,10,Site-002,forest
2023-08-29,2023-08-30,294.5400085449219,10,Site-002,forest
2023-08-30,2023-08-31,296.32000732421875,10,Site-002,forest
2023-08-31,2023-09-01,298.44000244140625,10,Site-002,forest
2023-09-01,2023-09-02,294.17999267578125,10,Site-002,forest
2023-09-03,2023-09-04,292.30999755859375,10,Site-002,forest
2023-09-05,2023-09-06,293.7699890136719,10,Site-002,forest
2023-09-07,2023-09-08,296.2699890136719,10,Site-002,forest
2023-09-08,2023-09-09,293.8500061035156,10,Site-002,forest
2023-09-10,2023-09-11,289.7699890136719,10,Site-002,forest
2023-09-12,2023-09-13,295.5,10,Site-002,forest
2023-09-14,2023-09-15,295.4599914550781,10,Site-002,forest
2023-09-15,2023-09-16,293.1000061035156,10,Site-002,forest
2023-09-16,2023-09-17,294.1199951171875,10,Site-002,forest
2023-09-17,2023-09-18,292.7699890136719,10,Site-002,forest
2023-09-19,2023-09-20,292.0199890136719,10,Site-002,forest
2023-09-21,2023-09-22,291.4800109863281,10,Site-002,forest
2023-09-23,2023-09-24,295.7799987792969,10,Site-002,forest
2023-09-24,2023-09-25,294.260009765625,10,Site-002,forest
2023-09-26,2023-09-27,293.0199890136719,10,Site-002,forest
2023-09-28,2023-09-29,294.1400146484375,10,Site-002,forest
2023-09-30,2023-10-01,296.4700012207031,10,Site-002,forest
2023-10-01,2023-10-02,285.739990234375,10,Site-002,forest
2023-10-02,2023-10-03,295.1499938964844,10,Site-002,forest
2023-10-03,2023-10-04,287.2900085449219,10,Site-002,forest
2023-10-05,2023-10-06,283.6600036621094,10,Site-002,forest
2023-10-07,2023-10-08,294.75,10,Site-002,forest
2023-10-09,2023-10-10,292.1300048828125,10,Site-002,forest
2023-10-10,2023-10-11,294.0199890136719,10,Site-002,forest
2023-10-12,2023-10-13,290.07000732421875,10,Site-002,forest
2023-10-14,2023-10-15,289.6600036621094,10,Site-002,forest
2023-10-16,2023-10-17,293.25,10,Site-002,forest
2023-10-17,2023-10-18,291.3500061035156,10,Site-002,forest
2023-10-18,2023-10-19,291.1300048828125,10,Site-002,forest
2023-10-19,2023-10-20,292.7799987792969,10,Site-002,forest
2023-10-23,2023-10-24,292.2200012207031,10,Site-002,forest
2023-10-25,2023-10-26,290.6300048828125,10,Site-002,forest
2023-10-26,2023-10-27,284.5400085449219,10,Site-002,forest
2023-10-28,2023-10-29,289.3399963378906,10,Site-002,forest
