interval_from,interval_to,LST,land_type,Id,land_type_label
2023-02-01,2023-02-02,307.0400085449219,10,Site-004,forest
2023-02-02,2023-02-03,306.8999938964844,10,Site-004,forest
2023-02-04,2023-02-05,308.0199890136719,10,Site-004,forest
2023-02-06,2023-02-07,308.739990234375,10,Site-004,forest
2023-02-08,2023-02-09,309.3800048828125,10,Site-004,forest
2023-02-09,2023-02-10,307.8900146484375,10,Site-004,forest
2023-02-10,2023-02-11,308.2799987792969,10,Site-004,forest
2023-02-11,2023-02-12,309.29998779296875,10,Site-004,forest
2023-02-13,2023-02-14,308.92999267578125,10,Site-004,forest
2023-02-15,2023-02-16,310.989990234375,10,Site-004,forest
2023-02-17,2023-02-18,307.70001220703125,10,Site-004,forest
2023-02-18,2023-02-19,308.8999938964844,10,Site-004,forest
2023-02-20,2023-02-21,306.5299987792969,10,Site-004,forest
2023-02-22,2023-02-23,308.54998779296875,10,Site-004,forest
2023-02-24,2023-02-25,308.2900085449219,10,Site-004,forest
2023-02-25,2023-02-26,306.70001220703125,10,Site-004,forest
2023-02-26,2023-02-27,307.8500061035156,10,Site-004,forest
2023-02-27,2023-02-28,307.8299865722656,10,Site-004,forest
2023-03-01,2023-03-02,308.3599853515625,10,Site-004,forest
2023-03-03,2023-03-04,308.489990234375,10,Site-004,forest
2023-03-05,2023-03-06,307.70001220703125,10,Site-004,forest
2023-03-06,2023-03-07,305.1099853515625,10,Site-004,forest
2023-03-08,2023-03-09,301.0799865722656,10,Site-004,forest
2023-03-10,2023-03-11,303.9200134277344,10,Site-004,forest
2023-03-12,2023-03-13,306.2300109863281,10,Site-004,forest
2023-03-13,2023-03-14,303.9700012207031,10,Site-004,forest
2023-03-14,2023-03-15,304.6300048828125,10,Site-004,forest
2023-03-15,2023-03-16,304.0199890136719,10,Site-004,forest
2023-03-17,2023-03-18,304.3699951171875,10,Site-004,forest
2023-03-19,2023-03-20,306.8699951171875,10,Site-004,forest
2023-03-21,2023-03-22,308.04998779296875,10,Site-004,forest
2023-03-22,2023-03-23,306.1700134277344,10,Site-004,forest
2023-03-24,2023-03-25,307.25,10,Site-004,forest
2023-03-26,2023-03-27,304.2699890136719,10,Site-004,forest
2023-03-28,2023-03-29,308.2699890136719,10,Site-004,forest
2023-03-29,2023-03-30,301.75,10,Site-004,forest
2023-03-30,2023-03-31,305.3800048828125,10,Site-004,forest
2023-03-31,2023-04-01,306.239990234375,10,Site-004,forest
2023-01-01,2023-01-02,304.5199890136719,10,Site-005,forest
2023-01-03,2023-01-04,304.8399963378906,10,Site-005,forest
2023-01-05,2023-01-06,304.6700134277344,10,Site-005,forest
2023-01-07,2023-01-08,305.5400085449219,10,Site-005,forest
2023-01-08,2023-01-09,305.6400146484375,10,Site-005,forest
2023-01-09,2023-01-10,301.4599914550781,10,Site-005,forest
2023-01-10,2023-01-11,302.82000732421875,10,Site-005,forest
2023-01-12,2023-01-13,303.989990234375,10,Site-005,forest
2023-01-14,2023-01-15,304.1400146484375,10,Site-005,forest
2023-01-16,2023-01-17,306.3500061035156,10,Site-005,forest
2023-01-17,2023-01-18,305.6499938964844,10,Site-005,forest
2023-01-19,2023-01-20,306.45001220703125,10,Site-005,forest
2023-01-21,2023-01-22,305.6400146484375,10,Site-005,forest
2023-01-23,2023-01-24,306.1700134277344,10,Site-005,forest
2023-01-24,2023-01-25,306.3999938964844,10,Site-005,forest
2023-01-25,2023-01-26,307.1300048828125,10,Site-005,forest
2023-01-26,2023-01-27,305.739990234375,10,Site-005,forest
2023-01-28,2023-01-29,308.7900085449219,10,Site-005,forest
2023-01-30,2023-01-31,308.239990234375,10,Site-005,forest
2023-02-01,2023-02-02,307.8699951171875,10,Site-005,forest
2023-02-02,2023-02-03,307.54998779296875,10,Site-005,forest
2023-02-04,2023-02-05,306.94000244140625,10,Site-005,forest
2023-02-06,2023-02-07,307.7300109863281,10,Site-005,forest
2023-02-08,2023-02-09,309.1400146484375,10,Site-005,forest
2023-02-09,2023-02-10,307.8299865722656,10,Site-005,forest
2023-02-10,2023-02-11,308.1199951171875,10,Site-005,forest
2023-02-11,2023-02-12,309.1000061035156,10,Site-005,forest
2023-02-13,2023-02-14,310.4800109863281,10,Site-005,forest
2023-02-15,2023-02-16,310.25,10,Site-005,forest
2023-02-17,2023-02-18,309.5,10,Site-005,forest
2023-02-18,2023-02-19,309.45001220703125,10,Site-005,forest
2023-02-20,2023-02-21,308.989990234375,10,Site-005,forest
2023-02-22,2023-02-23,308.3800048828125,10,Site-005,forest
2023-02-24,2023-02-25,309.5799865722656,10,Site-005,forest
2023-02-25,2023-02-26,308.3800048828125,10,Site-005,forest
2023-02-26,2023-02-27,309.2300109863281,10,Site-005,forest
2023-02-27,2023-02-28,309.5299987792969,10,Site-005,forest
2023-03-01,2023-03-02,311.510009765625,10,Site-005,forest
2023-03-03,2023-03-04,310.0,10,Site-005,forest
2023-03-05,2023-03-06,309.3299865722656,10,Site-005,forest
2023-03-06,2023-03-07,305.20001220703125,10,Site-005,forest
2023-03-08,2023-03-09,299.2799987792969,10,Site-005,forest
2023-03-10,2023-03-11,303.3900146484375,10,Site-005,forest
2023-03-12,2023-03-13,306.1300048828125,10,Site-005,forest
2023-03-13,2023-03-14,302.3900146484375,10,Site-005,forest
2023-03-14,2023-03-15,305.7200012207031,10,Site-005,forest
2023-03-15,2023-03-16,305.9800109863281,10,Site-005,forest
2023-03-17,2023-03-18,304.3299865722656,10,Site-005,forest
2023-03-19,2023-03-20,307.25,10,Site-005,forest
2023-03-21,2023-03-22,309.0,10,Site-005,forest
2023-03-22,2023-03-23,306.3399963378906,10,Site-005,forest
2023-03-24,2023-03-25,306.9800109863281,10,Site-005,forest
2023-03-26,2023-03-27,306.42999267578125,10,Site-005,forest
2023-03-28,2023-03-29,308.8599853515625,10,Site-005,forest
2023-03-29,2023-03-30,300.5799865722656,10,Site-005,forest
2023-03-30,2023-03-31,307.1199951171875,10,Site-005,forest
2023-03-31,2023-04-01,307.1199951171875,10,Site-005,forest
2023-01-01,2023-01-02,299.25,10,Site-006,forest
2023-01-03,2023-01-04,302.4100036621094,10,Site-006,forest
2023-01-05,2023-01-06,302.6400146484375,10,Site-006,forest
2023-01-07,2023-01-08,302.3800048828125,10,Site-006,forest
2023-01-08,2023-01-09,301.2699890136719,10,Site-006,forest
2023-01-09,2023-01-10,297.010009765625,10,Site-006,forest
2023-01-10,2023-01-11,300.4200134277344,10,Site-006,forest
2023-01-12,2023-01-13,301.6700134277344,10,Site-006,forest
2023-01-14,2023-01-15,301.3299865722656,10,Site-006,forest
2023-01-16,2023-01-17,302.4200134277344,10,Site-006,forest
2023-01-17,2023-01-18,302.5299987792969,10,Site-006,forest
2023-01-19,2023-01-20,303.3599853515625,10,Site-006,forest
2023-01-21,2023-01-22,302.17999267578125,10,Site-006,forest
2023-01-23,2023-01-24,303.1099853515625,10,Site-006,forest
2023-01-24,2023-01-25,301.9800109863281,10,Site-006,forest
2023-01-25,2023-01-26,301.57000732421875,10,Site-006,forest
2023-01-26,2023-01-27,302.489990234375,10,Site-006,forest
2023-01-28,2023-01-29,303.5899963378906,10,Site-006,forest
2023-01-30,2023-01-31,303.9800109863281,10,Site-006,forest
2023-02-01,2023-02-02,303.010009765625,10,Site-006,forest
2023-02-02,2023-02-03,303.5799865722656,10,Site-006,forest
2023-02-04,2023-02-05,303.489990234375,10,Site-006,forest
2023-02-06,2023-02-07,304.19000244140625,10,Site-006,forest
2023-02-08,2023-02-09,304.1099853515625,10,Site-006,forest
2023-02-09,2023-02-10,302.5899963378906,10,Site-006,forest
2023-02-10,2023-02-11,303.3099975585937,10,Site-006,forest
2023-02-11,2023-02-12,303.94000244140625,10,Site-006,forest
2023-02-13,2023-02-14,304.2699890136719,10,Site-006,forest
2023-02-15,2023-02-16,304.82000732421875,10,Site-006,forest
2023-02-17,2023-02-18,303.3599853515625,10,Site-006,forest
2023-02-18,2023-02-19,304.6300048828125,10,Site-006,forest
2023-02-20,2023-02-21,305.1199951171875,10,Site-006,forest
2023-02-22,2023-02-23,305.2200012207031,10,Site-006,forest
2023-02-24,2023-02-25,304.5599975585937,10,Site-006,forest
2023-02-25,2023-02-26,303.2300109863281,10,Site-006,forest
2023-02-26,2023-02-27,303.7300109863281,10,Site-006,forest
2023-02-27,2023-02-28,305.5199890136719,10,Site-006,forest
2023-03-01,2023-03-02,304.8699951171875,10,Site-006,forest
2023-03-03,2023-03-04,304.9700012207031,10,Site-006,forest
2023-03-05,2023-03-06,303.1300048828125,10,Site-006,forest
2023-03-06,2023-03-07,302.1199951171875,10,Site-006,forest
2023-03-08,2023-03-09,295.5400085449219,10,Site-006,forest
2023-03-10,2023-03-11,300.510009765625,10,Site-006,forest
2023-03-12,2023-03-13,301.20001220703125,10,Site-006,forest
2023-03-13,2023-03-14,296.1499938964844,10,Site-006,forest
2023-03-14,2023-03-15,300.8999938964844,10,Site-006,forest
2023-03-15,2023-03-16,301.2300109863281,10,Site-006,forest
2023-03-17,2023-03-18,297.7900085449219,10,Site-006,forest
2023-03-19,2023-03-20,302.5599975585937,10,Site-006,forest
2023-03-21,2023-03-22,303.3900146484375,10,Site-006,forest
2023-03-22,2023-03-23,301.6499938964844,10,Site-006,forest
2023-03-24,2023-03-25,303.1099853515625,10,Site-006,forest
2023-03-26,2023-03-27,303.17999267578125,10,Site-006,forest
2023-03-28,2023-03-29,303.4700012207031,10,Site-006,forest
2023-03-29,2023-03-30,297.95001220703125,10,Site-006,forest
2023-03-30,2023-03-31,301.1199951171875,10,Site-006,forest
2023-03-31,2023-04-01,303.1099853515625,10,Site-006,forest
2023-01-01,2023-01-02,299.8800048828125,10,Site-007,forest
2023-01-03,2023-01-04,301.4800109863281,10,Site-007,forest
2023-01-05,2023-01-06,301.9700012207031,10,Site-007,forest
2023-01-07,2023-01-08,301.9100036621094,10,Site-007,forest
2023-01-08,2023-01-09,300.7699890136719,10,Site-007,forest
2023-01-09,2023-01-10,295.010009765625,10,Site-007,forest
2023-01-10,2023-01-11,300.25,10,Site-007,forest
2023-01-12,2023-01-13,301.3500061035156,10,Site-007,forest
2023-01-14,2023-01-15,301.3800048828125,10,Site-007,forest
2023-01-16,2023-01-17,301.7699890136719,10,Site-007,forest
2023-01-17,2023-01-18,301.9200134277344,10,Site-007,forest
2023-01-19,2023-01-20,302.6700134277344,10,Site-007,forest
2023-01-21,2023-01-22,301.6700134277344,10,Site-007,forest
2023-01-23,2023-01-24,302.5400085449219,10,Site-007,forest
2023-01-24,2023-01-25,301.25,10,Site-007,forest
2023-01-25,2023-01-26,300.8999938964844,10,Site-007,forest
2023-01-26,2023-01-27,302.3699951171875,10,Site-007,forest
2023-01-28,2023-01-29,303.5299987792969,10,Site-007,forest
2023-01-30,2023-01-31,303.0199890136719,10,Site-007,forest
